row_id,datetime,wind_speed_120m,p_empirical_mean_80_120,p_theory_mean_80_120,turbines_in_repair,layout_wake_risk_scalar_120m,high_wind_speed,pred_raw,high_wind_cap_base,high_wind_cap_final,high_wind_gate,high_wind_excess,pred_clipped,clip_delta
2125,2026-01-01 00:00:00,7.7,36.312025477996386,16.79556898148148,3,0.09669095732261548,7.7,41.960074912724686,46.97689552113572,49.97689552113572,0.0007712960622871656,0.0,41.960074912724686,0.0
2124,2026-01-01 01:00:00,7.83,35.51979042846969,16.9007978425,3,0.09171336355655876,7.83,41.571562333998855,48.394766807076756,51.394766807076756,0.0009577170524602394,0.0,41.571562333998855,0.0
2123,2026-01-01 02:00:00,8.97,44.436235405580966,23.20485848490741,3,0.08393611292253844,8.97,47.327638369488405,60.23002377461806,63.23002377461806,0.006368515506815554,0.0,47.327638369488405,0.0
2122,2026-01-01 03:00:00,9.31,50.43681706752331,27.325127161851853,3,0.0953934683855862,9.31,48.68885711584652,62.678918369396825,65.67891836939683,0.01116953036249893,0.0,48.68885711584652,0.0
2121,2026-01-01 04:00:00,9.33,54.12510586894362,29.665089327500002,3,0.09171336355655876,9.33,44.31771862486634,62.83597296079401,65.83597296079401,0.011543752483922289,0.0,44.31771862486634,0.0
2120,2026-01-01 05:00:00,8.81,49.03954296608369,25.20024268564815,3,0.0933846234852995,8.81,37.786279001796416,59.09819202379031,62.09819202379031,0.004885108677787883,0.0,37.786279001796416,0.0
2119,2026-01-01 06:00:00,7.86,33.520137673735654,15.96792296,3,0.09355341597107247,7.86,30.09717404810396,48.68729093272143,51.68729093272143,0.0010067708200856378,0.0,30.09717404810396,0.0
2118,2026-01-01 07:00:00,7.41,30.663701267124033,13.93077473740741,3,0.0933846234852995,7.41,22.41012792056684,43.33993705585905,46.33993705585905,0.00047581761883833595,0.0,22.41012792056684,0.0
2117,2026-01-01 08:00:00,6.3,19.69996442170617,8.080164074074073,3,0.09749040126682038,6.3,18.817257089031955,29.56931692263136,32.56931692263136,7.484622751061123e-05,0.0,18.817257089031955,0.0
2116,2026-01-01 09:00:00,6.4,21.46214250259945,8.773454351851854,3,0.09589151337841059,6.4,15.918645146025636,30.689454107421394,33.6894541074214,8.841917001893843e-05,0.0,15.918645146025636,0.0
2115,2026-01-01 10:00:00,6.22,18.86463049017962,7.6851703774999995,3,0.09988873309943505,6.22,11.574190252705002,28.769414699926603,31.769414699926603,6.550403333979145e-05,0.0,11.574190252705002,0.0
2114,2026-01-01 11:00:00,6.18,23.79238913012204,9.52930928074074,3,0.0895530348808729,6.18,12.66663335123142,28.440506054288505,31.440506054288505,6.127973961660237e-05,0.0,12.66663335123142,0.0
2113,2026-01-01 12:00:00,5.79,20.06610775463085,7.643269384259259,3,0.08696911032623238,5.79,10.540488059819907,25.233646759317057,28.233646759317057,3.199176627183627e-05,0.0,10.540488059819907,0.0
2112,2026-01-01 13:00:00,5.2,14.392540156021518,5.136345092592593,3,0.08724870877735223,5.2,10.37366939760869,19.521623013817475,22.521623013817475,1.1967148341692707e-05,0.0,10.37366939760869,0.0
2111,2026-01-01 14:00:00,4.69,11.106731938162984,3.417006005925926,3,0.08724870877735223,4.69,9.335568580313076,15.338764070557454,18.338764070557453,5.114972942955947e-06,0.0,9.335568580313076,0.0
2110,2026-01-01 15:00:00,5.0,13.057087563616516,4.419277500000001,3,0.09749040126682038,5.0,8.765162069611588,17.809507866624234,20.809507866624234,8.574865573722174e-06,0.0,8.765162069611588,0.0
2109,2026-01-01 16:00:00,4.73,11.371854013440293,3.539110740000001,3,0.09263338976381562,4.73,9.654448331605613,15.576250930156682,18.576250930156682,5.467592675573079e-06,0.0,9.654448331605613,0.0
2108,2026-01-01 17:00:00,5.59,14.972341256519844,5.583004387685186,3,0.09631349459284305,5.59,11.645009856134301,23.30867298022125,26.30867298022125,2.2923310098127542e-05,0.0,11.645009856134301,0.0
2107,2026-01-01 18:00:00,5.84,16.960685649933247,6.600666433981482,3,0.09355341597107247,5.84,11.801644992623244,25.644782566364675,28.644782566364675,3.477188363891637e-05,0.0,11.801644992623244,0.0
2106,2026-01-01 19:00:00,5.67,15.71847136352395,5.968698015092592,3,0.0953934683855862,5.67,10.94312320879916,24.099453032702552,27.099453032702552,2.61927947872839e-05,0.0,10.94312320879916,0.0
2105,2026-01-01 20:00:00,4.96,10.92231345065849,3.482158565925926,3,0.0953934683855862,4.96,9.968089961200473,17.467084837185585,20.467084837185585,8.021851076159774e-06,0.0,9.968089961200473,0.0
2104,2026-01-01 21:00:00,4.61,8.947081076611333,2.5747773689814824,3,0.09254899352092913,4.61,10.254613518073757,14.863790351359,17.863790351359,4.4764907054742265e-06,0.0,10.254613518073757,0.0
2103,2026-01-01 22:00:00,4.14,6.395093255091787,1.4102757624999993,3,0.09213695943551345,4.14,9.234879328697783,12.090142695571092,15.090142695571092,2.0452264415637335e-06,0.0,9.234879328697783,0.0
2102,2026-01-01 23:00:00,4.26,7.220931256345048,1.7715247407407408,3,0.0953934683855862,4.26,10.123596428278322,12.78578032986576,15.78578032986576,2.498044085626793e-06,0.0,10.123596428278322,0.0
2101,2026-01-02 00:00:00,4.46,7.3559813586918645,1.8881120133333338,3,0.07290555030160241,4.46,8.866713428454865,13.973214627861896,16.973214627861896,3.4862979189542794e-06,0.0,8.866713428454865,0.0
2100,2026-01-02 01:00:00,4.43,6.777656884231742,1.6444534058333327,3,0.07118738903252755,4.43,8.51519458913754,13.795099483162474,16.795099483162474,3.3162697269461294e-06,0.0,8.51519458913754,0.0
2099,2026-01-02 02:00:00,4.72,8.046064243649298,2.25526224,3,0.06128191668813146,4.72,8.722332134332687,15.516879215256871,18.51687921525687,5.377221803497116e-06,0.0,8.722332134332687,0.0
2098,2026-01-02 03:00:00,4.03,5.606816988093206,1.0576593316666671,3,0.20551220976293402,4.03,11.052409030048674,11.453053822542305,14.453053822542305,1.7026323965795565e-06,0.0,11.052409030048674,0.0
2097,2026-01-02 04:00:00,4.05,6.894907025873952,1.5766145949074069,3,0.5830239701722767,4.05,20.87988696374152,11.568888163092993,14.568888163092993,1.7603432133424856e-06,6.310998800648527,20.87987863159859,-8.33214292939033e-06
2096,2026-01-02 05:00:00,6.41,23.964910515601336,9.642971404814816,3,0.9464788380651283,6.41,30.68246293112308,30.801467825900396,33.801467825900396,8.990503820370863e-05,0.0,30.68246293112308,0.0
2095,2026-01-02 06:00:00,10.53,60.93235824327296,37.9908892275,3,0.9464788380651283,10.53,49.61304064823273,71.2501448511151,74.2501448511151,0.07943854918397829,0.0,49.61304064823273,0.0
2094,2026-01-02 07:00:00,12.47,71.7423699870971,57.10191128074074,3,0.9193003979471923,12.47,63.05078603654328,76.15047592930063,79.15047592930063,0.6863980785519275,0.0,63.05078603654328,0.0
2093,2026-01-02 08:00:00,13.24,70.9344634604529,55.179112592592595,3,0.7836550390259065,13.24,70.49140688496675,77.214253414974,80.214253414974,0.8876208906586434,0.0,70.49140688496675,0.0
2092,2026-01-02 09:00:00,13.79,72.49063147662712,56.34948827342592,3,0.8924507673021731,13.79,67.04467849109929,77.4605,80.4605,0.9518154776382924,0.0,67.04467849109929,0.0
2091,2026-01-02 10:00:00,14.02,72.85255775173093,56.63633206,3,0.9676900171553269,14.02,67.59085194479512,77.4605,80.4605,0.9666463876729245,0.0,67.59085194479512,0.0
2090,2026-01-02 11:00:00,12.61,72.78918308539807,57.9970895849074,3,0.9732394190325642,12.61,69.323863322337,76.28212709971191,79.28212709971191,0.7343227981915375,0.0,69.323863322337,0.0
2089,2026-01-02 12:00:00,11.1,67.72102427311668,47.56747582175925,3,0.9732394190325642,11.1,68.45543903303967,72.73569951032133,75.73569951032133,0.18242552380635624,0.0,68.45543903303967,0.0
2088,2026-01-02 13:00:00,11.2,68.87856871926927,49.53365054,3,0.9732394190325642,11.2,69.32126037943159,72.90796230591823,75.90796230591823,0.20860852732604476,0.0,69.32126037943159,0.0
2087,2026-01-02 14:00:00,11.4,70.23476922940156,52.345196131759266,3,0.9892300057184423,11.4,70.51020282737562,73.62370071968432,76.62370071968432,0.2689414213699952,0.0,70.51020282737562,0.0
2086,2026-01-02 15:00:00,12.0,72.13349167153905,58.2407461075,3,0.9892300057184423,12.0,72.88304050035153,75.50832042732259,78.50832042732259,0.5,0.0,72.88304050035153,0.0
2085,2026-01-02 16:00:00,12.41,72.81337039562392,58.79665858,3,0.9784600114368847,12.41,73.15629742851104,76.09405399912436,79.09405399912436,0.6644822563478706,0.0,73.15629742851104,0.0
2084,2026-01-02 17:00:00,12.73,72.66596310720996,58.17963562074074,3,0.9569200228737692,12.73,72.77779775272283,76.39497096006446,79.39497096006446,0.7714764127585647,0.0,72.77779775272283,0.0
2083,2026-01-02 18:00:00,12.57,72.24086135155746,58.0578075,3,0.9193003979471923,12.57,72.77505808429905,76.2445124795944,79.2445124795944,0.7211151780228632,0.0,72.77505808429905,0.0
2082,2026-01-02 19:00:00,13.08,74.13349067955772,59.29980324074074,3,0.9193003979471923,13.08,73.89185832483628,76.95395323643845,79.95395323643845,0.8581489350995123,0.0,73.89185832483628,0.0
2081,2026-01-02 20:00:00,13.32,75.87545470490532,63.42251627249999,3,0.8656011366571539,13.32,73.46637873764438,77.26709946269604,80.26709946269604,0.9002495108803148,0.0,73.46637873764438,0.0
2080,2026-01-02 21:00:00,12.68,73.83012619945677,60.070566054074064,3,0.8119018753671154,12.68,74.35575613106789,76.34795268491756,79.34795268491756,0.7564535292304041,0.0,74.35575613106789,0.0
