iter	MAE
266	7.864071169
267	7.862523536
268	7.861014837
269	7.858892738
270	7.855433077
271	7.853875677
272	7.850507187
273	7.848120952
274	7.845320558
275	7.84223706
276	7.839416765
277	7.83717006
278	7.834974968
279	7.833138377
280	7.831375501
281	7.829888505
282	7.827806149
283	7.825514767
284	7.822909475
285	7.82046421
286	7.817235834
287	7.815805797
288	7.812855659
289	7.809790684
290	7.805418921
291	7.804267761
292	7.801137528
293	7.79893814
294	7.796986215
295	7.794494479
296	7.792308609
297	7.789254589
298	7.786761848
299	7.783969122
300	7.780865294
301	7.778120352
302	7.776724932
303	7.774830659
304	7.771847245
305	7.769379528
306	7.767531171
307	7.765347944
308	7.763034271
309	7.759243092
310	7.758197694
311	7.756335465
312	7.75362437
313	7.751307648
314	7.747653635
315	7.74497314
316	7.742935052
317	7.741429952
318	7.737674689
319	7.735662813
320	7.73303984
321	7.730706174
322	7.729426555
323	7.725273296
324	7.723350118
325	7.722095728
326	7.719963539
327	7.717783028
328	7.715281907
329	7.713296461
330	7.710144468
331	7.707528911
332	7.705554589
333	7.704031101
334	7.702570908
335	7.699354674
336	7.697481382
337	7.695437988
338	7.693909021
339	7.692693091
340	7.689801944
341	7.687258997
342	7.685657544
343	7.68188871
344	7.679893128
345	7.675944809
346	7.673842081
347	7.6715803
348	7.669794754
349	7.666931374
350	7.665568617
351	7.664364762
352	7.662795691
353	7.661182227
354	7.659491492
355	7.656201554
356	7.65324454
357	7.651084661
358	7.649267621
359	7.64768226
360	7.645946517
361	7.64373101
362	7.641479891
363	7.639559172
364	7.636844043
365	7.634056929
366	7.632642921
367	7.630448081
368	7.627939264
369	7.626660614
370	7.624174934
371	7.622065618
372	7.620249476
373	7.619039452
374	7.616864896
375	7.615320312
376	7.61263453
377	7.609993038
378	7.608617341
379	7.606068263
380	7.604934657
381	7.603753123
382	7.601972521
383	7.599476574
384	7.597274648
385	7.594535267
386	7.592058782
387	7.590630546
388	7.589071294
389	7.58677573
390	7.584636374
391	7.583005869
392	7.580434152
393	7.577368893
394	7.576175377
395	7.574097397
396	7.572395253
397	7.569522285
398	7.567045247
399	7.56456897
400	7.561508566
401	7.560113479
402	7.557470254
403	7.55518482
404	7.552490551
405	7.549630722
406	7.547660541
407	7.544566337
408	7.542654053
409	7.541997643
410	7.540290975
411	7.538333904
412	7.535981876
413	7.533154141
414	7.532165137
415	7.530928187
416	7.527946589
417	7.525237721
418	7.523211302
419	7.520554385
420	7.519055752
421	7.517891298
422	7.515688022
423	7.511835052
424	7.510673919
425	7.508700212
426	7.506293529
427	7.505037441
428	7.50357052
429	7.501881184
430	7.499599015
431	7.498413966
432	7.496833074
433	7.494941295
434	7.492814162
435	7.491662363
436	7.489388154
437	7.486886702
438	7.485091598
439	7.483633011
440	7.481054629
441	7.478695784
442	7.475774259
443	7.474745461
444	7.472222402
445	7.471024118
446	7.469015904
447	7.467173564
448	7.465728122
449	7.463785927
450	7.461221771
451	7.460279992
452	7.459072914
453	7.457171716
454	7.455325992
455	7.453180856
456	7.451573868
457	7.448984639
458	7.446576694
459	7.44494648
460	7.442011878
461	7.438934865
462	7.437575617
463	7.435016709
464	7.433117134
465	7.43166365
466	7.430331019
467	7.428618399
468	7.426817287
469	7.424655635
470	7.423059701
471	7.421586956
472	7.418891204
473	7.415566106
474	7.41386897
475	7.411210708
476	7.408275453
477	7.405655465
478	7.403033501
479	7.400740622
480	7.398138322
481	7.396039812
482	7.393338188
483	7.392331983
484	7.390096015
485	7.388793974
486	7.387109161
487	7.385370776
488	7.384065106
489	7.382668601
490	7.380328522
491	7.379324466
492	7.377859359
493	7.376126928
494	7.374216503
495	7.371794497
496	7.369870676
497	7.368420862
498	7.366548669
499	7.365095322
