row_id,datetime,wind_speed_120m,p_empirical_mean_80_120,p_theory_mean_80_120,turbines_in_repair,layout_wake_risk_scalar_120m,ae_reconstruction_error,high_wind_speed,pred_raw,high_wind_cap_final,high_wind_gate,high_wind_excess,pred_clipped,clip_delta
2125,2026-01-01 00:00:00,7.7,36.312025477996386,16.79556898148148,3,0.09669095732261548,0.1177474372655668,7.7,41.32222554261442,75.592,0.00021504580341783101,0.0,41.32222554261442,0.0
2124,2026-01-01 01:00:00,7.83,35.51979042846969,16.9007978425,3,0.09171336355655876,0.12541960573142316,7.83,41.28122640415653,75.592,0.0002870532985934013,0.0,41.28122640415653,0.0
2123,2026-01-01 02:00:00,8.97,44.436235405580966,23.20485848490741,3,0.08393611292253844,0.15885181265259932,8.97,48.04346696537535,75.592,0.003603562666270568,0.0,48.04346696537535,0.0
2122,2026-01-01 03:00:00,9.31,50.43681706752331,27.325127161851853,3,0.0953934683855862,0.1328590891185256,9.31,49.1865171707222,75.592,0.007640164332319957,0.0,49.1865171707222,0.0
2121,2026-01-01 04:00:00,9.33,54.12510586894362,29.665089327500002,3,0.09171336355655876,0.09203864014198972,9.33,44.429044057650756,75.592,0.007984613644853868,0.0,44.429044057650756,0.0
2120,2026-01-01 05:00:00,8.81,49.03954296608369,25.20024268564815,3,0.0933846234852995,0.09659943360605565,8.81,37.81060933973404,75.592,0.0025280449458946006,0.0,37.81060933973404,0.0
2119,2026-01-01 06:00:00,7.86,33.520137673735654,15.96792296,3,0.09355341597107247,0.11624249657519879,7.86,29.900195008214,75.592,0.0003068364242535644,0.0,29.900195008214,0.0
2118,2026-01-01 07:00:00,7.41,30.663701267124033,13.93077473740741,3,0.0933846234852995,0.09246098432196703,7.41,22.125901883654304,75.592,0.00011290071023759204,0.0,22.125901883654304,0.0
2117,2026-01-01 08:00:00,6.3,19.69996442170617,8.080164074074073,3,0.09749040126682038,0.08765940227985584,6.3,18.773717150821952,75.592,9.582566134082887e-06,0.0,18.773717150821952,0.0
2116,2026-01-01 09:00:00,6.4,21.46214250259945,8.773454351851854,3,0.09589151337841059,0.07990132709979621,6.4,16.033819210843916,75.592,1.1967148341692729e-05,0.0,16.033819210843916,0.0
2115,2026-01-01 10:00:00,6.22,18.86463049017962,7.6851703774999995,3,0.09988873309943505,0.07651255345030054,6.22,11.997283389142623,75.592,8.021851076159774e-06,0.0,11.997283389142623,0.0
2114,2026-01-01 11:00:00,6.18,23.79238913012204,9.52930928074074,3,0.0895530348808729,0.08491745965365316,6.18,12.037324077290345,75.592,7.339575419067801e-06,0.0,12.037324077290345,0.0
2113,2026-01-01 12:00:00,5.79,20.06610775463085,7.643269384259259,3,0.08696911032623238,0.08203511610230262,5.79,10.714526539238332,75.592,3.0852064751827334e-06,0.0,10.714526539238332,0.0
2112,2026-01-01 13:00:00,5.2,14.392540156021518,5.136345092592593,3,0.08724870877735223,0.07595206124126704,5.2,10.280062256402339,75.592,8.315280276641321e-07,0.0,10.280062256402339,0.0
2111,2026-01-01 14:00:00,4.69,11.106731938162984,3.417006005925926,3,0.08724870877735223,0.08009579446175866,4.69,8.999743385617291,75.592,2.6771747746385554e-07,0.0,8.999743385617291,0.0
2110,2026-01-01 15:00:00,5.0,13.057087563616516,4.419277500000001,3,0.09749040126682038,0.08290740047416831,5.0,8.466410139911382,75.592,5.331596228461532e-07,0.0,8.466410139911382,0.0
2109,2026-01-01 16:00:00,4.73,11.371854013440293,3.539110740000001,3,0.09263338976381562,0.07242373661437479,4.73,9.340150939475171,75.592,2.926042753010157e-07,0.0,9.340150939475171,0.0
2108,2026-01-01 17:00:00,5.59,14.972341256519844,5.583004387685186,3,0.09631349459284305,0.08489166412755918,5.59,10.84054165768565,75.592,1.9781760760496586e-06,0.0,10.84054165768565,0.0
2107,2026-01-01 18:00:00,5.84,16.960685649933247,6.600666433981482,3,0.09355341597107247,0.07320499319613838,5.84,10.9392936973853,75.592,3.4477758169604555e-06,0.0,10.9392936973853,0.0
2106,2026-01-01 19:00:00,5.67,15.71847136352395,5.968698015092592,3,0.0953934683855862,0.07022408392164209,5.67,10.7091965056224,75.592,2.363048775546464e-06,0.0,10.7091965056224,0.0
2105,2026-01-01 20:00:00,4.96,10.92231345065849,3.482158565925926,3,0.0953934683855862,0.06730301825910966,4.96,9.906245932052885,75.592,4.878129415145454e-07,0.0,9.906245932052885,0.0
2104,2026-01-01 21:00:00,4.61,8.947081076611333,2.5747773689814824,3,0.09254899352092913,0.056565471281808784,4.61,9.731588252840403,75.592,2.2411392172934423e-07,0.0,9.731588252840403,0.0
2103,2026-01-01 22:00:00,4.14,6.395093255091787,1.4102757624999993,3,0.09213695943551345,0.07159058894338104,4.14,8.346199385026562,75.592,7.886284485314511e-08,0.0,8.346199385026562,0.0
2102,2026-01-01 23:00:00,4.26,7.220931256345048,1.7715247407407408,3,0.0953934683855862,0.06078075347574861,4.26,9.984331708572212,75.592,1.0296373564250406e-07,0.0,9.984331708572212,0.0
2101,2026-01-02 00:00:00,4.46,7.3559813586918645,1.8881120133333338,3,0.07290555030160241,0.06480462284054526,4.46,9.110522957723573,75.592,1.6058465225638582e-07,0.0,9.110522957723573,0.0
2100,2026-01-02 01:00:00,4.43,6.777656884231742,1.6444534058333327,3,0.07118738903252755,0.07410597611378748,4.43,8.556511550693504,75.592,1.5022806543057227e-07,0.0,8.556511550693504,0.0
2099,2026-01-02 02:00:00,4.72,8.046064243649298,2.25526224,3,0.06128191668813146,0.12425371405642131,4.72,9.306795963950067,75.592,2.8617367567144266e-07,0.0,9.306795963950067,0.0
2098,2026-01-02 03:00:00,4.03,5.606816988093206,1.0576593316666671,3,0.20551220976293402,0.18747327847100057,4.03,11.114353977352925,75.592,6.176060954143072e-08,0.0,11.114353977352925,0.0
2097,2026-01-02 04:00:00,4.05,6.894907025873952,1.5766145949074069,3,0.5830239701722767,0.07965079797844661,4.05,20.591753316108058,75.592,6.456743727950526e-08,0.0,20.591753316108058,0.0
2096,2026-01-02 05:00:00,6.41,23.964910515601336,9.642971404814816,3,0.9464788380651283,0.27454744780306645,6.41,31.390474459970584,75.592,1.2236058542439028e-05,0.0,31.390474459970584,0.0
2095,2026-01-02 06:00:00,10.53,60.93235824327296,37.9908892275,3,0.9464788380651283,0.42318686409956846,10.53,50.5361675767877,75.592,0.10381321744947619,0.0,50.5361675767877,0.0
2094,2026-01-02 07:00:00,12.47,71.7423699870971,57.10191128074074,3,0.9193003979471923,0.38974299618748237,12.47,64.26909819351724,76.9119348326215,0.8961867825505238,0.0,64.26909819351724,0.0
2093,2026-01-02 08:00:00,13.24,70.9344634604529,55.179112592592595,3,0.7836550390259065,0.2766535521643874,13.24,69.8818440050934,77.0,0.9795009902180184,0.0,69.8818440050934,0.0
2092,2026-01-02 09:00:00,13.79,72.49063147662712,56.34948827342592,3,0.8924507673021731,0.380909541052141,13.79,68.53948956259774,77.0,0.9938729067741602,0.0,68.53948956259774,0.0
2091,2026-01-02 10:00:00,14.02,72.85255775173093,56.63633206,3,0.9676900171553269,0.45562954139073203,14.02,68.54877623646975,77.0,0.9963157601005641,0.0,68.54877623646975,0.0
2090,2026-01-02 11:00:00,12.61,72.78918308539807,57.9970895849074,3,0.9732394190325642,0.4210684730104101,12.61,70.48724755523732,76.96137815642574,0.9217717405482159,0.0,70.48724755523732,0.0
2089,2026-01-02 12:00:00,11.1,67.72102427311668,47.56747582175925,3,0.9732394190325642,0.47995550374423407,11.1,69.03015303801003,75.592,0.2913391749705643,0.0,69.03015303801003,0.0
2088,2026-01-02 13:00:00,11.2,68.87856871926927,49.53365054,3,0.9732394190325642,0.46443064618704577,11.2,69.28550015885038,75.592,0.3392436312341825,0.0,69.28550015885038,0.0
2087,2026-01-02 14:00:00,11.4,70.23476922940156,52.345196131759266,3,0.9892300057184423,0.3525283193619366,11.4,70.63108575865382,75.592,0.4446719447376312,0.0,70.63108575865382,0.0
2086,2026-01-02 15:00:00,12.0,72.13349167153905,58.2407461075,3,0.9892300057184423,0.4009608940978025,12.0,72.88285211565109,76.1909780614799,0.7523361988609284,0.0,72.88285211565109,0.0
2085,2026-01-02 16:00:00,12.41,72.81337039562392,58.79665858,3,0.9784600114368847,0.34618837421101284,12.41,73.25165241712894,76.81989779800767,0.8831105962037822,0.0,73.25165241712894,0.0
2084,2026-01-02 17:00:00,12.73,72.66596310720996,58.17963562074074,3,0.9569200228737692,0.29261270322744126,12.73,73.01759218108992,76.97371794047993,0.9389651489270082,0.0,73.01759218108992,0.0
2083,2026-01-02 18:00:00,12.57,72.24086135155746,58.0578075,3,0.9193003979471923,0.38917843526502605,12.57,72.88162456404943,76.95726489507435,0.9151169758826123,0.0,72.88162456404943,0.0
2082,2026-01-02 19:00:00,13.08,74.13349067955772,59.29980324074074,3,0.9193003979471923,0.31624177667860565,13.08,73.88545530888082,77.0,0.9710022659478648,0.0,73.88545530888082,0.0
2081,2026-01-02 20:00:00,13.32,75.87545470490532,63.42251627249999,3,0.8656011366571539,0.38043269515389405,13.32,74.20897910390364,77.0,0.9827822109632849,0.0,74.20897910390364,0.0
2080,2026-01-02 21:00:00,12.68,73.83012619945677,60.070566054074064,3,0.8119018753671154,0.24270378942407014,12.68,74.71988616020614,76.96857636379067,0.9322781426205708,0.0,74.71988616020614,0.0
2079,2026-01-02 22:00:00,12.77,73.93903450497942,59.94076,3,0.9193003979471923,0.29619195387030867,12.77,72.6909268862751,76.97783120183132,0.9438649246933923,0.0,72.6909268862751,0.0
2078,2026-01-02 23:00:00,11.7,69.2492818056191,53.50311238249999,3,1.0,0.34184743268446893,11.7,72.8830408923839,75.7233541821098,0.6093175418435602,0.0,72.8830408923839,0.0
2077,2026-01-03 00:00:00,11.8,70.84274677806883,55.70500176592594,3,0.9866197095162821,0.3507621163950439,11.8,72.7949246670048,75.8793519822095,0.6607563687658174,0.0,72.7949246670048,0.0
2076,2026-01-03 01:00:00,12.42,73.46734679356851,59.876059443240734,3,0.9598591285488463,0.35475517516174765,12.42,73.35372785984676,76.83523730377665,0.8853850559706969,0.0,73.35372785984676,0.0
2075,2026-01-03 02:00:00,12.56,73.9873958223406,60.79419733342593,3,0.9330985475814104,0.3567338635836723,12.56,73.64891517700936,76.9562365797365,0.9133748008483401,0.0,73.64891517700936,0.0
